solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,conflict_literals,memory_reported_mb
minisat,tseitin_grid_n260_m260.cnf,benchmarks/tseitin_grid_n260_m260.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,23_2.cnf,benchmarks/23_2.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,hash_table_find_safety_size_25.cnf,benchmarks/hash_table_find_safety_size_25.cnf,UNSAT,169.3910472393036,20.0,False,False,13912.0,1772224.0,609905588.0,61.0,16012436.0,64458705.0,165.055,2210065.0,8033.8
minisat,crafted_n12_d6_c4_num4.cnf,benchmarks/crafted_n12_d6_c4_num4.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,grs-192-48.cnf,benchmarks/grs-192-48.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,mchess20-mixed-25percent-blocked.cnf,benchmarks/mchess20-mixed-25percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,20_2.cnf,benchmarks/20_2.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,asconhashv12_opt64_H9_M2-LSGb5PgEM_m2_7.c.cnf,benchmarks/asconhashv12_opt64_H9_M2-LSGb5PgEM_m2_7.c.cnf,SAT,194.05083847045896,10.0,False,False,211370.0,942672.0,878428365.0,511.0,158664.0,372443.0,192.356,15551893.0,211.62
minisat,mchess22-mixed-35percent-blocked.cnf,benchmarks/mchess22-mixed-35percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,multiplier_14bits__miter_14.cnf,benchmarks/multiplier_14bits__miter_14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,PRP_20_40.cnf,benchmarks/PRP_20_40.cnf,SAT,61.21054482460022,10.0,False,False,859077.0,10009905.0,282804348.0,1848.0,123918.0,738682.0,60.4416,15477005.0,247.79
minisat,velev-pipe-o-uns-1.0-7.cnf,benchmarks/velev-pipe-o-uns-1.0-7.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,PRP_30_39.cnf,benchmarks/PRP_30_39.cnf,SAT,167.70347547531128,10.0,False,False,1839503.0,27183744.0,651378192.0,3580.0,182106.0,1083336.0,166.15,38333811.0,446.0
minisat,ibm-2004-03-k70.cnf,benchmarks/ibm-2004-03-k70.cnf,SAT,2.9308862686157227,10.0,False,False,54586.0,168286.0,19854678.0,169.0,69839.0,275980.0,2.78198,1160338.0,116.95
minisat,asconhashv12_opt64_H13_M2-axxJh7DAq767y_m4_5.c.cnf,benchmarks/asconhashv12_opt64_H13_M2-axxJh7DAq767y_m4_5.c.cnf,SAT,91.98689031600952,10.0,False,False,418103.0,1819977.0,225614027.0,1020.0,158745.0,372495.0,90.8091,44121354.0,352.12
minisat,intervals553.cnf,benchmarks/intervals553.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,PRP_30_37.cnf,benchmarks/PRP_30_37.cnf,SAT,131.74214148521423,10.0,False,False,1580632.0,23491001.0,571352413.0,3069.0,172792.0,1027604.0,130.251,30679778.0,430.08
minisat,shuffling-1-s1870372346-of-bench-sat04-423.used-as.sat04-562.cnf,benchmarks/shuffling-1-s1870372346-of-bench-sat04-423.used-as.sat04-562.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,PRP_30_40.cnf,benchmarks/PRP_30_40.cnf,SAT,118.25797748565674,10.0,False,False,1460518.0,21734339.0,522009964.0,2813.0,186658.0,1111772.0,116.906,28284643.0,435.55
minisat,TableModel_output_6_4_6.bul_.dimacs.cnf,benchmarks/TableModel_output_6_4_6.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
