solver,instance,path,status,runtime_sec,returncode,timeout,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward
glucose,goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,benchmarks/goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,UNSAT,7.89560604095459,20.0,False,208236.0,2492980.0,111080766.0,1038.0,12998.0,77941.0,7.83421,,,,,,,,,,1311.0,10.0,144461.0,21.0,8445.0,3231.0,452.0,5397.0,,
glucose,PRP_30_36.cnf,benchmarks/PRP_30_36.cnf,SAT,46.37391996383667,10.0,False,1353748.0,25389391.0,604624693.0,4269.0,167970.0,999018.0,45.9864,,,,,,,,,,6692.0,24.0,1022816.0,13.0,84107.0,28608.0,8969.0,18483.0,,
maplesat,PRP_30_36.cnf,benchmarks/PRP_30_36.cnf,SAT,60.232669830322266,10.0,False,938319.0,28494107.0,654190260.0,2044.0,167970.0,999018.0,59.806,,,,,,,,,,,,,,,,,,14214603.0,0.02427
maplesat,goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,benchmarks/goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,satcoin-genesis-UNSAT-10600.cnf,benchmarks/satcoin-genesis-UNSAT-10600.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,satcoin-genesis-UNSAT-10600.cnf,benchmarks/satcoin-genesis-UNSAT-10600.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,satcoin-genesis-UNSAT-10600.cnf,benchmarks/satcoin-genesis-UNSAT-10600.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,par32-4.shuffled.cnf,benchmarks/par32-4.shuffled.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,SCPC-800-41.cnf,benchmarks/SCPC-800-41.cnf,SAT,5.673953056335449,10.0,False,276046.0,347776.0,18822906.0,2343.0,,,,268317.0,124966.0,105675.0,53405.0,989.0,5.66,5.66,96224.0,10.0,,,,,,,,,,
glucose,par32-4.shuffled.cnf,benchmarks/par32-4.shuffled.cnf,TIMEOUT,150.0,,True,,,,,3176.0,9869.0,,,,,,,,,,,,,,,,,,,,
maplesat,par32-4.shuffled.cnf,benchmarks/par32-4.shuffled.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,SCPC-800-41.cnf,benchmarks/SCPC-800-41.cnf,TIMEOUT,150.0,,True,,,,,800.0,33540.0,,,,,,,,,,,,,,,,,,,,
maplesat,SCPC-800-41.cnf,benchmarks/SCPC-800-41.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,Urquhart-s5-b4.shuffled.cnf,benchmarks/Urquhart-s5-b4.shuffled.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,6s166.cnf,benchmarks/6s166.cnf,UNSAT,1.4134242534637451,20.0,False,78832.0,193235.0,10799689.0,2655.0,,,,74976.0,48236.0,11686.0,9006.0,2985.0,1.4,1.4,21280.0,20.0,,,,,,,,,,
glucose,6s166.cnf,benchmarks/6s166.cnf,UNSAT,11.693011999130249,20.0,False,500388.0,639836.0,72763216.0,1006.0,5448.0,15993.0,11.649,,,,,,,,,,3521.0,19.0,413121.0,25.0,1901.0,451.0,12.0,5820.0,,
glucose,Urquhart-s5-b4.shuffled.cnf,benchmarks/Urquhart-s5-b4.shuffled.cnf,TIMEOUT,150.0,,True,,,,,114.0,888.0,,,,,,,,,,,,,,,,,,,,
maplesat,Urquhart-s5-b4.shuffled.cnf,benchmarks/Urquhart-s5-b4.shuffled.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,6s166.cnf,benchmarks/6s166.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,intervals788.cnf,benchmarks/intervals788.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,intervals788.cnf,benchmarks/intervals788.cnf,TIMEOUT,150.0,,True,,,,,2449.0,52707.0,,,,,,,,,,,,,,,,,,,,
maplesat,intervals788.cnf,benchmarks/intervals788.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,preimage_80r_490m_160h_seed_150.cnf,benchmarks/preimage_80r_490m_160h_seed_150.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,preimage_80r_490m_160h_seed_150.cnf,benchmarks/preimage_80r_490m_160h_seed_150.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,10pipe_q0_k.cnf,benchmarks/10pipe_q0_k.cnf,UNSAT,50.12047791481018,20.0,False,1333836.0,12741042.0,1417869233.0,3760.0,77639.0,2082016.0,49.7095,,,,,,,,,,6696.0,33.0,841522.0,44.0,5487.0,4673.0,97.0,6149.0,,
maplesat,preimage_80r_490m_160h_seed_150.cnf,benchmarks/preimage_80r_490m_160h_seed_150.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,iso-icl004.shuffled-as.sat05-3238.cnf,benchmarks/iso-icl004.shuffled-as.sat05-3238.cnf,UNSAT,0.011741876602172852,20.0,False,,,540.0,,,,,,,1564.0,,,0.0,0.0,4800.0,20.0,,,,,,,,,,
glucose,iso-icl004.shuffled-as.sat05-3238.cnf,benchmarks/iso-icl004.shuffled-as.sat05-3238.cnf,UNSAT,0.01073002815246582,20.0,False,11.0,12.0,759.0,1.0,1000.0,7393.0,0.004641,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,2.0,8.0,0.0,,
maplesat,iso-icl004.shuffled-as.sat05-3238.cnf,benchmarks/iso-icl004.shuffled-as.sat05-3238.cnf,UNSAT,0.01153111457824707,20.0,False,11.0,12.0,1074.0,1.0,1000.0,7393.0,0.004137,,,,,,,,,,,,,,,,,,15.0,0.167909
cadical,lisa19_99_a.shuffled.cnf,benchmarks/lisa19_99_a.shuffled.cnf,SAT,1.6280591487884521,10.0,False,63361.0,116082.0,13976658.0,3286.0,,,,62101.0,45522.0,8525.0,4237.0,1438.0,1.62,1.62,14304.0,10.0,,,,,,,,,,
glucose,lisa19_99_a.shuffled.cnf,benchmarks/lisa19_99_a.shuffled.cnf,SAT,0.6411950588226318,10.0,False,28217.0,37228.0,4963760.0,89.0,1201.0,6428.0,0.618329,,,,,,,,,,2.0,4.0,16185.0,35.0,624.0,163.0,2.0,722.0,,
maplesat,lisa19_99_a.shuffled.cnf,benchmarks/lisa19_99_a.shuffled.cnf,SAT,1.5396709442138672,10.0,False,66946.0,85868.0,13056328.0,205.0,1201.0,6428.0,1.52896,,,,,,,,,,,,,,,,,,2441157.0,0.239353
cadical,10pipe_q0_k.cnf,benchmarks/10pipe_q0_k.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,10pipe_q0_k.cnf,benchmarks/10pipe_q0_k.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,satcoin-genesis-UNSAT-17800.cnf,benchmarks/satcoin-genesis-UNSAT-17800.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,satcoin-genesis-UNSAT-17800.cnf,benchmarks/satcoin-genesis-UNSAT-17800.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
